long,latt,location
0.53373,52.33818,"0.53373,52.33818"
0.14065,52.20839,"0.14065,52.20839"
0.81466,52.25347,"0.81466,52.25347"
0.18136,52.24852,"0.18136,52.24852"
0.07582,52.23151,"0.07582,52.23151"
0.18877,52.06251,"0.18877,52.06251"
0.25773,51.99205,"0.25773,51.99205"
-0.00904,52.26906,"-0.00904,52.26906"
-0.01507,52.04912,"-0.01507,52.04912"
-0.01582,52.04878,"-0.01582,52.04878"
0.42626,52.09122,"0.42626,52.09122"
0.52114,52.34914,"0.52114,52.34914"
0.1709,52.18433,"0.1709,52.18433"
0.91521,52.2428,"0.91521,52.2428"
0.91703,52.24125,"0.91703,52.24125"
0.12302,52.38782,"0.12302,52.38782"
1.07408,52.47158,"1.07408,52.47158"
0.16532,52.18983,"0.16532,52.18983"
0.28736,52.46258,"0.28736,52.46258"
0.09917,52.21502,"0.09917,52.21502"
0.12819,52.16089,"0.12819,52.16089"
0.10548,52.2027,"0.10548,52.2027"
0.22378,52.12627,"0.22378,52.12627"
0.66324,52.43445,"0.66324,52.43445"
0.72486,52.42435,"0.72486,52.42435"
0.72486,52.42435,"0.72486,52.42435"
0.23395,52.0141,"0.23395,52.0141"
0.5053,52.27291,"0.5053,52.27291"
0.12986,52.20785,"0.12986,52.20785"
0.43766,52.08535,"0.43766,52.08535"
0.00306,52.25835,"0.00306,52.25835"
0.1575,52.19906,"0.1575,52.19906"
0.45277,52.28467,"0.45277,52.28467"
0.72146,52.24701,"0.72146,52.24701"
0.75223,52.41925,"0.75223,52.41925"
0.78654,52.1579,"0.78654,52.1579"
0.31649,52.45136,"0.31649,52.45136"
0.33077,52.29297,"0.33077,52.29297"
0.90877,52.2359,"0.90877,52.2359"
0.70503,52.24208,"0.70503,52.24208"
0.02297,52.25331,"0.02297,52.25331"
0.71548,52.29933,"0.71548,52.29933"
0.83813,52.29968,"0.83813,52.29968"
0.12014,52.23266,"0.12014,52.23266"
0.12023,52.23231,"0.12023,52.23231"
0.73258,52.22932,"0.73258,52.22932"
0.42349,52.09398,"0.42349,52.09398"
0.42349,52.09398,"0.42349,52.09398"
0.41336,52.09191,"0.41336,52.09191"
0.23922,52.02259,"0.23922,52.02259"
-0.02343,52.05824,"-0.02343,52.05824"
0.7413,52.24024,"0.7413,52.24024"
0.7413,52.24024,"0.7413,52.24024"
0.49632,52.30527,"0.49632,52.30527"
0.40708,52.24082,"0.40708,52.24082"
0.13369,52.18648,"0.13369,52.18648"
0.1058,52.15952,"0.1058,52.15952"
0.14512,52.18424,"0.14512,52.18424"
0.04972,52.2757,"0.04972,52.2757"
0.69829,52.2436,"0.69829,52.2436"
0.34715,52.1496,"0.34715,52.1496"
0.3308,51.99593,"0.3308,51.99593"
0.14191,52.17738,"0.14191,52.17738"
0.45099,52.07052,"0.45099,52.07052"
0.02777,52.25538,"0.02777,52.25538"
0.0255,52.25642,"0.0255,52.25642"
0.7074,52.27495,"0.7074,52.27495"
0.72593,52.23656,"0.72593,52.23656"
0.72593,52.23656,"0.72593,52.23656"
0.88218,52.32289,"0.88218,52.32289"
0.4057,52.08894,"0.4057,52.08894"
0.21016,52.03609,"0.21016,52.03609"
0.12183,52.29044,"0.12183,52.29044"
0.12183,52.29044,"0.12183,52.29044"
0.07062,52.26168,"0.07062,52.26168"
0.39717,52.25639,"0.39717,52.25639"
1.0635,52.3552,"1.0635,52.3552"
0.3996,52.31794,"0.3996,52.31794"
0.3996,52.31794,"0.3996,52.31794"
0.26015,52.01227,"0.26015,52.01227"
0.74251,52.23849,"0.74251,52.23849"
0.99853,52.43692,"0.99853,52.43692"
0.36306,52.2497,"0.36306,52.2497"
0.19131,52.06223,"0.19131,52.06223"
0.3405,52.29834,"0.3405,52.29834"
0.18039,52.27271,"0.18039,52.27271"
0.17558,52.13029,"0.17558,52.13029"
0.43778,52.08828,"0.43778,52.08828"
0.38523,52.307,"0.38523,52.307"
0.11088,52.17159,"0.11088,52.17159"
0.14026,52.09766,"0.14026,52.09766"
0.36952,52.14993,"0.36952,52.14993"
0.41825,52.23978,"0.41825,52.23978"
0.24171,52.02277,"0.24171,52.02277"
0.23331,52.14561,"0.23331,52.14561"
0.724,52.41504,"0.724,52.41504"
0.14786,52.19195,"0.14786,52.19195"
0.12999,52.19559,"0.12999,52.19559"
0.18877,52.06251,"0.18877,52.06251"
0.18877,52.06251,"0.18877,52.06251"
0.15148,51.96387,"0.15148,51.96387"
0.47421,52.29256,"0.47421,52.29256"
0.21307,52.38499,"0.21307,52.38499"
0.21307,52.38499,"0.21307,52.38499"
0.3152,52.45498,"0.3152,52.45498"
0.71601,52.2533,"0.71601,52.2533"
0.25771,52.39584,"0.25771,52.39584"
0.08445,52.23823,"0.08445,52.23823"
0.94599,52.39529,"0.94599,52.39529"
-0.01048,52.10236,"-0.01048,52.10236"
0.19391,52.26079,"0.19391,52.26079"
0.19578,51.94645,"0.19578,51.94645"
