,Incident Number,long,latt,PC Sector
0,26688544,-3.49046,50.720909999999996,EX1 3
1,26688600,-3.50638,50.7315,EX4 7
2,26688722,0.8879,51.32255,ME13 7
3,26688976,-3.13032,51.52987,CF23 8
4,26689033,-3.09099,54.17893,LA12 9
5,26689073,-3.69584,55.507940000000005,ML12 6
6,26689589,-3.90187,53.277,LL34 6
7,26689667,0.87928,51.16174,TN24 9
8,26689811,-1.72208,53.80693,BD2 3
9,26690199,-1.58161,51.95089,OX7 5
10,26690219,-1.69547,55.16225,NE61 2
11,26690375,-2.58038,50.79554,DT2 0
12,26690467,-1.10462,52.6271,LE5 5
13,26690916,-1.97877,52.51034,B70 6
14,26691082,-2.16358,53.388369999999995,SK3 8
15,26691279,-1.10603,52.63071,LE5 5
16,26691285,-2.88947,56.45138000000001,DD6 9
17,26691351,-1.13446,51.251540000000006,RG22 5
18,26691420,-0.37737,53.75895,HU5 4
19,26691668,-4.57339,53.24775,LL65 2
20,26692313,0.23887,51.88602,CM24 1
21,26692434,0.72486,52.42435,IP24 1
22,26692609,-2.02793,52.40571,B45 0
23,26692718,-2.05287,52.363440000000004,B61 0
24,26692828,-4.08847,55.9501,G65 9
25,26693151,0.80959,51.21561,TN27 0
26,26693157,-4.93474,55.95531999999999,PA23 7
27,26693580,0.25423,50.86965,BN27 1
28,26693655,0.00088,51.78535,SG12 8
29,26694530,-4.17605,57.468419999999995,IV2 5
30,26694671,-3.93892,56.1305,FK8 1
31,26694879,-4.37955,54.9015,DG8 7
32,26695965,-0.10894,51.59648,N22 6
33,26696214,-0.37629,51.63303,WD19 5
34,26696464,-0.76814,51.87236,HP22 4
35,26696465,-2.43563,53.18244,CW10 0
36,26697209,-0.24483,51.54376,NW10 3
37,26697293,-1.52874,53.848569999999995,LS17 6
38,26697342,0.30888,51.36958,DA3 8
39,26697628,-1.6079,53.83716999999999,LS16 5
40,26697661,0.24486,51.13068,TN4 8
41,26697806,-2.77248,51.34212,BS40 5
42,26698021,-1.1988,53.157830000000004,NG19 7
43,26698254,-1.5957,52.28999,CV34 5
44,26698383,-2.91341,53.418119999999995,L13 3
45,26698653,-3.55885,50.73261,EX4 2
46,26698762,-2.24557,51.35071,BA15 1
47,26698877,0.97001,52.517230000000005,NR17 1
48,26699184,0.11783,50.77686,BN25 3
49,26699374,-3.95496,55.9505,G67 3
50,26699553,-2.27273,53.3588,M90 1
51,26699622,-4.23281,52.919669999999996,LL52 0
52,26699635,-,,N/A
